"date_time","market","adults","children","infants","origin","destination","carrier_codes","carrier_name","expected_price","expected_price_currency","observed_price","observer_price_currency","difference_in_euro_cent","percentage_difference","redirect_url","target_url","outbound","inbound"
"2021-05-19 08:21:45.000","IE","1","0","0","MAD","IBZ","[I2, UX]","[Iberia Express, Air Europa]","13000","EUR","39000","EUR","26000","200.0","http://www.skyscanner.ie/skippy_api/transport_deeplink/4.0/IE/en-GB/EUR/kuie/2/13870.12404.2021-05-22,12404.13870.2021-05-24/air/trava/flights?request_id=711473ae-fd88-4548-9228-62dae85ca553&ticket_price=130.00&carriers=-32221%2C-32680&tabs=CombinedDayView&operators=-32221%2C-32680&redirect_id=74e6422d-ca50-41f1-8590-ac976ed4aca7&pre_redirect_id=7e785a59-d0ac-486c-9b4b-0e00768cf2ce&commercial_filters=false&pqid=false&channel=website&q_sources=JACQUARD&utid=beee3225-6d66-433e-841c-dd3d6724507e&is_multipart=false&isbp=1&index=0&q_ids=H4sIAAAAAAAAAONS4GLJLs1MFWLmWJcjxczxJUGhYfLCVjaNhpurW9mMmBQYAQYf84QiAAAA|6550554869678165946|V3&sort=BEST&facilitated=false&qid=13870-2105221540--32221-0-12404-2105221650|12404-2105241230--32680-0-13870-2105241345&itinerary=flight|-32221|3804|13870|2021-05-22T15%3A40|12404|2021-05-22T16%3A50|70|-|-|-%2Cflight|-32680|6024|12404|2021-05-24T12%3A30|13870|2021-05-24T13%3A45|75|-|-|-&cabin_class=economy&is_npt=false&client_id=skyscanner_website&passengers=1&booking_panel_option_guid=eb80d54a-49f9-4e34-9d0a-6f624eff9237&utid_state=0&posidx=0&q_datetime_utc=2021-05-19T08%3A19%3A00&stops=0","https://www.kupi.com/booking/step0/Y10022MAYMADIBZ24MAY/WV8xMDBfMjJNQVlNQURJQloyNE1BWV9za3lfaWVfXzE2MjE0MTIzOTQ=:3:3?agent=sky_ie&tag=aaa0000&country=IE&skyscanner_redirectid=dOZCLcpQQfGFkKyXbtSspw","Carrier:I2 Departing:2021-05-22 15:40:00.000 From:MAD To:IBZ Arriving:2021-05-22 16:50:00.000","Carrier:UX Departing:2021-05-24 12:30:00.000 From:IBZ To:MAD Arriving:2021-05-24 13:45:00.000"
"2021-05-19 14:14:25.000","IE","1","0","0","MAD","IBZ","[I2, UX]","[Iberia Express, Air Europa]","30800","EUR","41600","EUR","10800","35.064934","http://www.skyscanner.ie/skippy_api/transport_deeplink/4.0/IE/ru-RU/EUR/kuie/2/13870.12404.2021-05-22,12404.13870.2021-05-24/air/trava/flights?request_id=dc67a01f-03b5-44bf-9f22-deedf1b2dfc3&ticket_price=308.00&carriers=-32221%2C-32680&tabs=CombinedDayView&operators=-32221%2C-32680&redirect_id=6aeac23c-c1aa-4b08-9d07-da3c79bc3b29&pre_redirect_id=29b672b9-a9c2-418f-8e1c-3dee606606e0&commercial_filters=false&pqid=false&channel=website&q_sources=JACQUARD&utid=79bed0bd-72b0-47ff-8c8a-76dc5764ecfc&is_multipart=false&isbp=1&index=0&q_ids=H4sIAAAAAAAAAONS4GLJLs1MFWLmWJcjxczxJUGhYfLCVjaNhpurW9mMmBQYAQYf84QiAAAA|6550554869678165946|V3&sort=BEST&facilitated=false&qid=13870-2105221540--32221-0-12404-2105221650|12404-2105241230--32680-0-13870-2105241345&itinerary=flight|-32221|3804|13870|2021-05-22T15%3A40|12404|2021-05-22T16%3A50|70|-|-|-%2Cflight|-32680|6024|12404|2021-05-24T12%3A30|13870|2021-05-24T13%3A45|75|-|-|-&cabin_class=economy&is_npt=false&client_id=skyscanner_website&passengers=1&booking_panel_option_guid=4e33c81b-886c-4222-b7b3-4cf0baaf72c1&utid_state=0&posidx=0&q_datetime_utc=2021-05-19T14%3A12%3A00&stops=0","https://www.kupi.com/booking/step0/Y10022MAYMADIBZ24MAY/WV8xMDBfMjJNQVlNQURJQloyNE1BWV9za3lfaWVfXzE2MjE0MzM1NTA=:4:15?agent=sky_ie&tag=aaa0000&country=IE&skyscanner_redirectid=aurCPMGqSwidB9o8ebw7KQ","Carrier:I2 Departing:2021-05-22 15:40:00.000 From:MAD To:IBZ Arriving:2021-05-22 16:50:00.000","Carrier:UX Departing:2021-05-24 12:30:00.000 From:IBZ To:MAD Arriving:2021-05-24 13:45:00.000"
"2021-05-19 14:13:40.000","IE","1","0","0","MAD","IBZ","[I2, UX]","[Iberia Express, Air Europa]","30800","EUR","41600","EUR","10800","35.064934","http://www.skyscanner.ie/skippy_api/transport_deeplink/4.0/IE/en-GB/EUR/kuie/2/13870.12404.2021-05-22,12404.13870.2021-05-24/air/trava/flights?request_id=4108fb03-736f-44f7-a1f0-4aaef57b54e2&ticket_price=308.00&carriers=-32221%2C-32680&tabs=CombinedDayView&operators=-32221%2C-32680&redirect_id=37596c90-b56f-45ab-85ee-1073e2196327&pre_redirect_id=850e528b-ed5e-49c4-b14a-e737d29deda8&commercial_filters=false&pqid=false&channel=website&q_sources=JACQUARD&utid=738c87ce-8be8-40e7-8ddb-27055d1f4e57&is_multipart=false&isbp=1&index=0&q_ids=H4sIAAAAAAAAAONS4GLJLs1MFWLmWJcjxczxJUGhYfLCVjaNhpurW9mMmBQYAQYf84QiAAAA|6550554869678165946|V3&sort=BEST&facilitated=false&qid=13870-2105221540--32221-0-12404-2105221650|12404-2105241230--32680-0-13870-2105241345&itinerary=flight|-32221|3804|13870|2021-05-22T15%3A40|12404|2021-05-22T16%3A50|70|-|-|-%2Cflight|-32680|6024|12404|2021-05-24T12%3A30|13870|2021-05-24T13%3A45|75|-|-|-&cabin_class=economy&is_npt=false&client_id=skyscanner_website&passengers=1&booking_panel_option_guid=2330120d-7053-4615-956e-2a39940b915b&utid_state=0&posidx=0&q_datetime_utc=2021-05-19T14%3A12%3A00&stops=0","https://www.kupi.com/booking/step0/Y10022MAYMADIBZ24MAY/WV8xMDBfMjJNQVlNQURJQloyNE1BWV9za3lfaWVfXzE2MjE0MzM1NTA=:4:15?agent=sky_ie&tag=aaa0000&country=IE&skyscanner_redirectid=N1lskLVvRauF7hBz4hljJw","Carrier:I2 Departing:2021-05-22 15:40:00.000 From:MAD To:IBZ Arriving:2021-05-22 16:50:00.000","Carrier:UX Departing:2021-05-24 12:30:00.000 From:IBZ To:MAD Arriving:2021-05-24 13:45:00.000"
"2021-05-19 14:20:21.000","IE","1","0","0","MAD","IBZ","[I2, UX]","[Iberia Express, Air Europa]","30800","EUR","41600","EUR","10800","35.064934","http://www.skyscanner.ie/skippy_api/transport_deeplink/4.0/IE/en-GB/EUR/kuie/2/13870.12404.2021-05-22,12404.13870.2021-05-24/air/trava/flights?request_id=f0dd9133-99a4-4119-a6b6-a3e7e0998b08&ticket_price=308.00&carriers=-32221%2C-32680&tabs=CombinedDayView&operators=-32221%2C-32680&redirect_id=e63274e9-1865-468a-9730-b8b108a57a36&pre_redirect_id=d069ce1e-dce5-4840-9eca-f0a9a81e2723&commercial_filters=false&pqid=false&channel=website&q_sources=JACQUARD&utid=738c87ce-8be8-40e7-8ddb-27055d1f4e57&is_multipart=false&isbp=1&index=0&q_ids=H4sIAAAAAAAAAONS4GLJLs1MFWLmWJcjxczxJUGhYfLCVjaNhpurW9mMmBQYAQYf84QiAAAA|6550554869678165946|V3&sort=BEST&facilitated=false&qid=13870-2105221540--32221-0-12404-2105221650|12404-2105241230--32680-0-13870-2105241345&itinerary=flight|-32221|3804|13870|2021-05-22T15%3A40|12404|2021-05-22T16%3A50|70|-|-|-%2Cflight|-32680|6024|12404|2021-05-24T12%3A30|13870|2021-05-24T13%3A45|75|-|-|-&cabin_class=economy&is_npt=false&client_id=skyscanner_website&passengers=1&booking_panel_option_guid=21517d16-aa1c-4a23-b9c3-3e303a760abb&utid_state=0&posidx=0&q_datetime_utc=2021-05-19T14%3A12%3A00&stops=0","https://www.kupi.com/booking/step0/Y10022MAYMADIBZ24MAY/WV8xMDBfMjJNQVlNQURJQloyNE1BWV9za3lfaWVfXzE2MjE0MzM1NTA=:4:15?agent=sky_ie&tag=aaa0000&country=IE&skyscanner_redirectid=5jJ06RhlRoqXMLixCKV6Ng","Carrier:I2 Departing:2021-05-22 15:40:00.000 From:MAD To:IBZ Arriving:2021-05-22 16:50:00.000","Carrier:UX Departing:2021-05-24 12:30:00.000 From:IBZ To:MAD Arriving:2021-05-24 13:45:00.000"
